통합 ID,원본 조,요구사항,역할,분류,비고,우선순위,진행상태,확인 필요
FR-P1-001,1조,회원가입·로그인 없이 사전에 생성된 가상 사용자를 선택해 서비스에 진입한다,태연,가상 사용자,세션/토큰 발급 기반 로직이라 미션·응모권 API보다 앞단 공통 인프라 성격,1차 확정,시작 전,No
FR-P1-002,1조,선택된 userId를 기준으로 이후 미션 수행과 응모권 처리를 수행한다,태연,가상 사용자,클라이언트가 전달한 사용자 ID가 아닌 인증된 사용자 식별자를 이후 모든 미션·응모권·응모 API가 공통으로 사용,1차 확정,시작 전,No
FR-P1-003,1조,존재하지 않는 가상 사용자 ID는 미션 및 응모권 처리에 사용할 수 없다,태연,가상 사용자,"가상 사용자는 최소 userId, name, phone, email 보유",1차 확정,시작 전,No
FR-P1-004,1조,크리에이터별 출석·좋아요 미션을 조회할 수 있다,문구,미션조회,"GET /api/creators/{creatorId}/missions, 1차 MVP는 ATTENDANCE·LIKE만 지원(API명세 v2.5 §4.1)",1차 확정,시작 전,No
FR-P1-005,1조,미션 완료 처리 API를 제공한다,문구,미션수행,"POST /api/creators/{creatorId}/missions/{missionId}/complete(공통 API로 확정, 미션별 개별 API는 폐기)",1차 확정,시작 전,No
FR-P1-006,1조,출석 미션을 수행할 수 있다,문구,출석 미션,"userId+creatorId+periodKey 기준 하루 1회만 인정, periodKey는 KST 기준 yyyyMMdd",1차 확정,시작 전,No
FR-P1-007,1조,출석 완료 시 해당 크리에이터 전용 응모권 1장을 지급한다,문구,출석 미션,성공 시 TicketEarnService.earn() 호출로 이어짐(FR-UA-20),1차 확정,시작 전,No
FR-P1-008,1조,periodKey는 일 단위로 관리하고 중복 적립 가드를 둔다,문구,출석 미션,Redis 가드 키 mission:earn-guard:{userId}:{missionType}:{creatorId}:{yyyymmdd}에 SETNX로 처리,1차 확정,시작 전,No
FR-P1-009,1조,좋아요는 크리에이터별 하루 1회만 인정한다,문구,좋아요 미션,"userId+creatorId+periodKey 기준, contentId는 중복 판정 기준에 포함하지 않음(2026-09-11 해소: 콘텐츠 기준 아님)",1차 확정,시작 전,No
FR-P1-010,1조,좋아요 완료 시 해당 크리에이터 전용 응모권 1장을 지급한다,문구,좋아요 미션,"하루 최대 1장, TicketEarnService.earn() 호출로 이어짐",1차 확정,시작 전,No
FR-P1-011,1조,1차 MVP에서 좋아요 활동은 Mock 방식으로 검증한다,문구,좋아요 미션,실제 SNS 연동 없이 버튼 클릭=완료 처리,1차 확정,시작 전,No
FR-P1-012,1조,좋아요를 취소해도 이미 지급한 응모권은 회수하지 않는다,문구,좋아요 미션,회수 로직 없음,1차 확정,시작 전,No
FR-P1-013,1조,좋아요 취소 후 다시 좋아요를 해도 같은 날 추가 보상은 지급하지 않는다,문구,좋아요 미션,가드 키가 이미 SET된 상태이므로 자연히 차단됨,1차 확정,시작 전,No
FR-P1-014,1조,미션 완료 시각은 서버 시각 기준으로 기록한다,문구,미션수행,클라이언트가 전달한 시각은 신뢰하지 않음,1차 확정,시작 전,No
FR-P1-015,1조,동일 사용자·크리에이터·미션·periodKey의 미션 완료는 한 번만 인정한다(Business Key),문구,미션 멱등성,"출석/좋아요 판정 키는 userId+creatorId+periodKey, EARN API Business Key는 userId+creatorId+missionId+periodKey로 레이어가 다름(임의 통합 금지)",1차 확정,시작 전,No
FR-P1-016,1조,버튼 연타·새로고침·동시 요청으로 동일 미션이 중복 적립되지 않아야 한다,문구,미션 멱등성,Redis SETNX 가드로 원자적으로 차단,1차 확정,시작 전,No
FR-P1-017,1조,동일 requestId 재전송은 한 번만 처리한다(네트워크 재시도 멱등성),태연,미션 멱등성,"Redis 멱등키 idem:mission:{requestId}, TTL 24시간(성능용 캐시, 최종 안전망은 DB request_id UNIQUE)",1차 확정,시작 전,No
FR-P1-018,1조,이미 처리된 requestId가 재요청되면 추가 지급 없이 기존 처리 결과를 반환한다,태연,미션 멱등성,응답 status=ALREADY_PROCESSED(HTTP 200),1차 확정,시작 전,No
FR-P1-019,1조,새로운 requestId로 동일 미션이 요청되면 Business Key로 중복 여부를 확인한다,태연,미션 멱등성,status=DUPLICATE_MISSION(HTTP 409),1차 확정,시작 전,No
FR-P1-020,1조,동일 requestId로 다른 요청 내용이 들어오면 오류 처리한다,태연,미션 멱등성,status=REQUEST_ID_CONFLICT/IDEMPOTENCY_CONFLICT(HTTP 409),1차 확정,시작 전,No
FR-P1-021,1조,미션 완료가 인정되면 시스템 2의 Ticket EARN 서비스를 호출해 응모권 적립을 요청한다,태연,응모권 적립 연동,"TicketEarnService.earn(EarnCommand) 동일 프로세스 내 Service Method 호출(HTTP 아님, 분리 계획 생기면 그때 전환). 요청 필드: requestId(UUID), userId, creatorId, missionType, missionId, periodKey(YYYY-MM-DD), missionKey, amount",1차 확정,시작 전,No
FR-P1-022,1조,EARN 성공 응답의 판단 기준을 정의한다,태연,응모권 적립 연동,Redis Balance 변경+Stream(stream:ticket-earned) 발행 완료 시점을 성공으로 판단(DB Consumer 반영까지는 기다리지 않음),1차 확정,시작 전,No
FR-P1-023,1조,EARN 처리 결과코드를 HTTP 응답으로 매핑한다,태연,응모권 적립 연동,EARN 결과 Enum은 확정. HTTP Status 매핑은 Service Method 전환 여부에 따라 별도 결정하며 현재 보류,1차 확정,시작 전,No
FR-P1-024,1조,EARN 처리 결과가 불명확할 때(타임아웃 등) 재시도 방식을 정의한다,태연,응모권 적립 연동,새 requestId를 만들지 않고 동일 requestId+missionKey로 재시도. Redis 성공 이후 DB 반영 실패는 시스템2 Consumer가 재처리,1차 확정,시작 전,No
FR-P1-025,1조,응모권 최대 보유량 제한을 두지 않는다,태연,응모권 데이터,Balance 상한 없음,1차 확정,시작 전,No
FR-P1-026,1조,사용자는 크리에이터별 현재 응모권 잔액을 조회할 수 있다,태연,응모권 조회,userId + creatorId 기준으로 조회,1차 확정,시작 전,No
FR-P1-027,1조,사용자는 크리에이터별 응모권 적립·사용 이력을 조회할 수 있다,태연,응모권 조회,EARN·SPEND 이력을 크리에이터별로 제공,1차 확정,시작 전,No
FR-P1-028,1조,응모권 Ledger는 수정·삭제하지 않는 append-only 로그로 관리한다,태연,응모권 데이터,delta_amount는 EARN 양수·SPEND 음수,1차 확정,시작 전,No
FR-P1-029,1조,응모권 변경은 Redis 원자 처리 → Stream 발행 → Consumer의 MySQL 반영 순서로 처리한다,태연,응모권 연동,Consumer가 ticket_ledger와 user_ticket_balance를 멱등 반영하며 Redis와 MySQL은 하나의 Transaction으로 묶지 않음,1차 확정,시작 전,No
FR-P1-030,1조,응모 요청 시 Event의 creatorId와 응모권의 creatorId가 일치하는지 검증한다,태연,응모권 연동,실제 검증은 시스템2에서 하며 확인만 한다,1차 확정,시작 전,No
FR-P1-031,1조,응모권 Balance와 Ledger는 Member + Creator 기준으로 관리한다,태연,응모권 데이터,같은 Creator의 여러 Event가 동일 Balance를 사용,1차 확정,시작 전,No
FR-P1-032,1조,이벤트의 creatorId와 응모권의 creatorId가 일치해야 한다,태연,응모권 연동,"실제 응모 시 검증은 시스템 2, 기준·계약은 시스템 1과 공동 관리",1차 확정,시작 전,No
FR-P1-033,1조,"B트랙 Consumer Group cg:ticket-history가 stream:ticket-deducted를 소비하여 event_entry, ticket_ledger, user_ticket_balance를 하나의 DB Transaction으로 반영한다",태연,응모권 연동,"실제 Consumer 구현은 파트2, DB 구조·정합성 Contract는 태연 담당. request_key는 DB request_id로 매핑하고 event_entry.request_id UNIQUE로 중복을 방지한다",1차 확정,시작 전,No
FR-P1-034,1조,응모권 만료 기간을 두지 않는다,태연,응모권 데이터,만료 처리 없음,1차 확정,시작 전,No
FR-P2-001,2조,이벤트 목록 조회 시 상태(예정/진행중/마감) 표시,성집,목록·상세조회,"Event.status를 표시 기준으로 사용한다. SCHEDULED=예정, OPEN=진행 중, CLOSING=마감 처리 중, CLOSED 이후 상태=마감. deleted_at IS NULL만 조회한다.",1차 확정,시작 전,No
FR-P2-002,2조,이벤트 상세 조회 시 응모기간·필요 응모권수·보유 응모권수 함께 제공,성집,목록·상세조회,클라이언트는 eventId만 전달하고 서버가 Event의 creatorId를 resolve한 뒤 ticket:balance:{creatorId}:{userId}를 조회한다. 키에 eventId는 포함하지 않는다.,1차 확정,시작 전,No
FR-P2-003,2조,목록 조회 캐싱(cache:event)으로 마감 임박 트래픽 대응,성집,목록·상세조회,TTL이 end_at 넘으면 마감 이벤트 계속 노출 위험 — TTL = 5초,1차 확정,시작 전,No
FR-P2-004,2조,유저·이벤트 기준 보유 응모권 수 조회,성집,잔액조회,eventId로 creatorId를 resolve한 뒤 ticket:balance:{creatorId}:{userId} GET. 원자처리 불필요(단순읽기),1차 확정,시작 전,No
FR-P2-005,2조,조회값이 응모 시 선택 가능 수량의 상한이 됨,성집,잔액조회,최종 검증은 Lua(A트랙)가 재수행,1차 확정,시작 전,No
